timestamp,open,high,low,close,volume
08-05-2015,40.85,43,37,40.4,7954
15-05-2015,37.6,40,32.15,39.7,15476
22-05-2015,40.7,44,35.4,42,9832
29-05-2015,41,42,33.3,40,4597
05-06-2015,32.4,41.6,32,37.7,3901
12-06-2015,37.45,39.5,36.85,38.75,4062
19-06-2015,32.05,40.35,32.05,39.55,1953
26-06-2015,39.35,40.1,38.3,38.5,5613
03-07-2015,34.65,54.15,34.65,50.15,34868
10-07-2015,48,67,48,58.85,92048
17-07-2015,58.15,61.4,55,56.3,18877
24-07-2015,56.2,62.15,53.1,61.75,22835
31-07-2015,62.5,62.5,56.5,58.85,10330
07-08-2015,58.75,59.55,54.35,56,25658
14-08-2015,55.25,70.9,53.75,55.6,257016
21-08-2015,54,57.55,50,51.4,26080
28-08-2015,43.7,48.9,42,44.5,22554
04-09-2015,40.55,45.8,38.1,40.3,3452
11-09-2015,35.2,42.65,35,41.6,5355
